,run_id,rupAM,t0sAEC,rupAEC1,icNum,Time,Mean Radius,On AEC1,On AEC2,On AEC1 rel,On AEC2 rel,Taken up by AEC1 rel,Taken up by AEC2 rel,Taken up by AMs,Total taken up by AECs,Total taken up
36,2,0.000685,120.0,0.000137,0.0,60,1.4033204799999999,0.94,0.04,0.9791666666666666,1.0,0.020833333333333332,0.0,0.0,0.02,0.02
37,2,0.000685,120.0,0.000137,0.0,90,1.4369564600000002,0.94,0.02,0.9791666666666666,0.5,0.020833333333333332,0.5,0.0,0.04,0.04
38,2,0.000685,120.0,0.000137,0.0,120,1.5473566600000002,0.94,0.02,0.9791666666666666,0.5,0.020833333333333332,0.5,0.0,0.04,0.04
39,2,0.000685,120.0,0.000137,0.0,150,1.7539652600000002,0.94,0.02,0.9791666666666666,0.5,0.020833333333333332,0.5,0.0,0.04,0.04
40,2,0.000685,120.0,0.000137,0.0,180,1.9899644600000002,0.94,0.02,0.9791666666666666,0.5,0.020833333333333332,0.5,0.0,0.04,0.04
41,2,0.000685,120.0,0.000137,0.0,210,2.14565146,0.94,0.02,0.9791666666666666,0.5,0.020833333333333332,0.5,0.0,0.04,0.04
42,2,0.000685,120.0,0.000137,0.0,240,2.21487506,0.94,0.02,0.9791666666666666,0.5,0.020833333333333332,0.5,0.0,0.04,0.04
43,2,0.000685,120.0,0.000137,0.0,270,2.22998066,0.94,0.0,0.9791666666666666,0.0,0.020833333333333332,1.0,0.0,0.06,0.06
44,2,0.000685,120.0,0.000137,0.0,300,2.23838446,0.94,0.0,0.9791666666666666,0.0,0.020833333333333332,1.0,0.0,0.06,0.06
45,2,0.000685,120.0,0.000137,0.0,330,2.24116066,0.94,0.0,0.9791666666666666,0.0,0.020833333333333332,1.0,0.0,0.06,0.06
46,2,0.000685,120.0,0.000137,0.0,360,2.24116066,0.92,0.0,0.9583333333333334,0.0,0.041666666666666664,1.0,0.0,0.08,0.08
47,2,0.000685,120.0,0.000137,0.0,390,2.24116066,0.9,0.0,0.9375,0.0,0.0625,1.0,0.0,0.1,0.1
48,2,0.000685,120.0,0.000137,0.0,420,2.24116066,0.88,0.0,0.9166666666666666,0.0,0.08333333333333333,1.0,0.0,0.12,0.12
49,2,0.000685,120.0,0.000137,0.0,450,2.24116066,0.88,0.0,0.9166666666666666,0.0,0.08333333333333333,1.0,0.0,0.12,0.12
50,2,0.000685,120.0,0.000137,0.0,480,2.24116066,0.88,0.0,0.9166666666666666,0.0,0.08333333333333333,1.0,0.0,0.12,0.12
