,run_id,rupAM,t0sAEC,rupAEC1,icNum,Time,Mean Radius,On AEC1,On AEC2,On AEC1 rel,On AEC2 rel,Taken up by AEC1 rel,Taken up by AEC2 rel,Taken up by AMs,Total taken up by AECs,Total taken up
0,0,0.00137,0.0,0.000137,0.0,0,1.3900000000000003,0.9532,0.0468,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,0,0.00137,0.0,0.000137,0.0,30,1.3950546777,0.9495,0.0444,0.996118338229123,0.9487179487179488,0.003881661770877,0.0512820512820512,0.0,0.0061,0.0061
2,0,0.00137,0.0,0.000137,0.0,60,1.4078141904,0.9449,0.043,0.9912924884599243,0.9188034188034188,0.0087075115400755,0.0811965811965812,0.0,0.0121,0.0121
3,0,0.00137,0.0,0.000137,0.0,90,1.449925786,0.9407,0.0414,0.9868862778010912,0.8846153846153846,0.0131137221989089,0.1153846153846153,0.0,0.0179,0.0179
4,0,0.00137,0.0,0.000137,0.0,120,1.5589862533,0.9359,0.0393,0.98185060847671,0.8397435897435898,0.0181493915232899,0.1602564102564102,0.0,0.0248,0.0248
5,0,0.00137,0.0,0.000137,0.0,150,1.7648360372999996,0.9313,0.0373,0.9770247587075116,0.7970085470085471,0.0229752412924884,0.202991452991453,0.0,0.0314,0.0314
6,0,0.00137,0.0,0.000137,0.0,180,1.9966879833000009,0.9233,0.0346,0.9686319765002098,0.7393162393162394,0.0313680234997901,0.2606837606837607,0.0,0.0421,0.0421
7,0,0.00137,0.0,0.000137,0.0,210,2.1451665962999997,0.9145,0.032,0.959399916072178,0.6837606837606838,0.040600083927822,0.3162393162393162,0.0,0.0535,0.0535
8,0,0.00137,0.0,0.000137,0.0,240,2.2053837173,0.903,0.0293,0.9473352916491816,0.6260683760683761,0.0526647083508182,0.3739316239316239,0.0,0.0677,0.0677
9,0,0.00137,0.0,0.000137,0.0,270,2.223859187299999,0.894,0.0262,0.9378934116659672,0.5598290598290598,0.0621065883340327,0.4401709401709401,0.0,0.0798,0.0798
10,0,0.00137,0.0,0.000137,0.0,300,2.2257847323,0.8847,0.0236,0.928136802349979,0.5042735042735043,0.0718631976500209,0.4957264957264957,0.0,0.0917,0.0917
11,0,0.00137,0.0,0.000137,0.0,330,2.2257847323,0.8735,0.0216,0.9163869072597566,0.4615384615384615,0.0836130927402434,0.5384615384615384,0.0,0.1049,0.1049
12,0,0.00137,0.0,0.000137,0.0,360,2.2257847323,0.8635,0.02,0.9058959295006296,0.4273504273504273,0.0941040704993705,0.5726495726495726,0.0,0.1165,0.1165
13,0,0.00137,0.0,0.000137,0.0,390,2.2257847323,0.8546,0.0177,0.8965589592950063,0.3782051282051282,0.1034410407049937,0.6217948717948718,0.0,0.1277,0.1277
14,0,0.00137,0.0,0.000137,0.0,420,2.2257847323,0.8441,0.0152,0.8855434326479228,0.3247863247863248,0.1144565673520772,0.6752136752136753,0.0,0.1407,0.1407
15,0,0.00137,0.0,0.000137,0.0,450,2.2257847323,0.8339,0.0132,0.8748426353336131,0.282051282051282,0.1251573646663869,0.717948717948718,0.0,0.1529,0.1529
16,0,0.00137,0.0,0.000137,0.0,480,2.2257847323,0.8254,0.0119,0.865925304238355,0.2542735042735042,0.134074695761645,0.7457264957264957,0.0,0.1627,0.1627
17,1,0.013699999999999999,0.0,0.000137,0.0,0,1.3900000000000003,0.9567,0.0433,1.0,1.0,0.0,0.0,0.0,0.0,0.0
18,1,0.013699999999999999,0.0,0.000137,0.0,30,1.3948167441,0.9528,0.0409,0.995923486986516,0.9445727482678984,0.0040765130134838,0.0554272517321016,0.0,0.0063,0.0063
19,1,0.013699999999999999,0.0,0.000137,0.0,60,1.4082204331,0.949,0.0397,0.991951499947737,0.9168591224018476,0.0080485000522629,0.0831408775981524,0.0,0.0113,0.0113
20,1,0.013699999999999999,0.0,0.000137,0.0,90,1.4499628667000002,0.9439,0.038,0.9866206752377966,0.8775981524249422,0.0133793247622034,0.1224018475750577,0.0,0.0181,0.0181
21,1,0.013699999999999999,0.0,0.000137,0.0,120,1.5586243892000002,0.9379,0.0368,0.9803491167555136,0.8498845265588915,0.0196508832444862,0.1501154734411085,0.0,0.0253,0.0253
22,1,0.013699999999999999,0.0,0.000137,0.0,150,1.7632614661999997,0.9316,0.0344,0.9737639803491168,0.7944572748267898,0.0262360196508832,0.2055427251732101,0.0,0.034,0.034
23,1,0.013699999999999999,0.0,0.000137,0.0,180,1.993768443200001,0.9244,0.0311,0.9662381101703772,0.7182448036951501,0.0337618898296226,0.2817551963048499,0.0,0.0445,0.0445
24,1,0.013699999999999999,0.0,0.000137,0.0,210,2.1428731292,0.9172,0.028,0.958712239991638,0.6466512702078522,0.041287760008362,0.3533487297921478,0.0,0.0548,0.0548
25,1,0.013699999999999999,0.0,0.000137,0.0,240,2.2041043932,0.9074,0.0252,0.948468694470576,0.581986143187067,0.051531305529424,0.418013856812933,0.0,0.0674,0.0674
26,1,0.013699999999999999,0.0,0.000137,0.0,270,2.2223807462,0.8987,0.022,0.9393749346712658,0.5080831408775982,0.0606250653287341,0.4919168591224018,0.0,0.0793,0.0793
27,1,0.013699999999999999,0.0,0.000137,0.0,300,2.2241812652,0.8892,0.0194,0.929444967074318,0.4480369515011547,0.070555032925682,0.5519630484988453,0.0,0.0914,0.0914
28,1,0.013699999999999999,0.0,0.000137,0.0,330,2.2241812652,0.8805,0.0171,0.920351207275008,0.394919168591224,0.0796487927249921,0.605080831408776,0.0,0.1024,0.1024
