id;time;agent;agentid;state;radius;x;y;z;cellpart;cellpart_id;
5;0;FungalCellAlveolus;0;OnAEC2Swelling;1.39;-87.5516;70.8497;29.7875;Mothercell;basic;
5;30;FungalCellAlveolus;0;OnAEC2Swelling;1.39805;-87.5516;70.8497;29.7875;Mothercell;basic;
5;60;FungalCellAlveolus;0;OnAEC2Swelling;1.41416;-87.5516;70.8497;29.7875;Mothercell;basic;
5;90;FungalCellAlveolus;0;OnAEC2Swelling;1.46005;-87.5516;70.8497;29.7875;Mothercell;basic;
5;120;FungalCellAlveolus;0;OnAEC2Swelling;1.57516;-87.5516;70.8497;29.7875;Mothercell;basic;
5;150;FungalCellAlveolus;0;OnAEC2Swelling;1.79048;-87.5516;70.8497;29.7875;Mothercell;basic;
5;180;FungalCellAlveolus;0;OnAEC2Swelling;2.03627;-87.5516;70.8497;29.7875;Mothercell;basic;
5;210;FungalCellAlveolus;0;OnAEC2Swelling;2.19832;-87.5516;70.8497;29.7875;Mothercell;basic;
5;240;FungalCellAlveolus;0;OnAEC2Swelling;2.27035;-87.5516;70.8497;29.7875;Mothercell;basic;
5;270;FungalCellAlveolus;0;OnAEC2Swelling;2.29669;-87.5516;70.8497;29.7875;Mothercell;basic;
5;300;FungalCellAlveolus;0;OnAEC2Swelling;2.30562;-87.5516;70.8497;29.7875;Mothercell;basic;
5;330;FungalCellAlveolus;0;OnAEC2Swelling;2.30857;-87.5516;70.8497;29.7875;Mothercell;basic;
5;360;FungalCellAlveolus;0;UptakenByAEC2;1.78878;-89.5055;72.4309;30.4522;Mothercell;basic;
5;390;FungalCellAlveolus;0;UptakenByAEC2;1.78878;-89.5055;72.4309;30.4522;Mothercell;basic;
5;420;FungalCellAlveolus;0;UptakenByAEC2;1.78878;-89.5055;72.4309;30.4522;Mothercell;basic;
5;450;FungalCellAlveolus;0;UptakenByAEC2;1.78878;-89.5055;72.4309;30.4522;Mothercell;basic;
5;480;FungalCellAlveolus;0;UptakenByAEC2;1.78878;-89.5055;72.4309;30.4522;Mothercell;basic;
1;0;FungalCellAlveolus;0;OnAEC1Swelling;1.39;-46.615;106.375;-9.14649;Mothercell;basic;
1;30;FungalCellAlveolus;0;OnAEC1Swelling;1.39805;-46.615;106.375;-9.14649;Mothercell;basic;
