id;time;agent;agentid;state;radius;x;y;z;cellpart;cellpart_id;
4;360;FungalCellAlveolus;0;OnAEC1Swelling;2.30953;49.2715;29.7803;-101.28;Mothercell;basic;
4;390;FungalCellAlveolus;0;OnAEC1Swelling;2.30985;49.2715;29.7803;-101.28;Mothercell;basic;
4;420;FungalCellAlveolus;0;OnAEC1Swelling;2.30995;49.2715;29.7803;-101.28;Mothercell;basic;
4;450;FungalCellAlveolus;0;OnAEC1Swelling;2.30998;49.2715;29.7803;-101.28;Mothercell;basic;
4;480;FungalCellAlveolus;0;OnAEC1Swelling;2.30999;49.2715;29.7803;-101.28;Mothercell;basic;
3;0;FungalCellAlveolus;0;OnAEC1Swelling;1.39;41.823;-103.903;-32.0508;Mothercell;basic;
3;30;FungalCellAlveolus;0;OnAEC1Swelling;1.39805;41.823;-103.903;-32.0508;Mothercell;basic;
3;60;FungalCellAlveolus;0;OnAEC1Swelling;1.41416;41.823;-103.903;-32.0508;Mothercell;basic;
3;90;FungalCellAlveolus;0;OnAEC1Swelling;1.46005;41.823;-103.903;-32.0508;Mothercell;basic;
3;120;FungalCellAlveolus;0;OnAEC1Swelling;1.57516;41.823;-103.903;-32.0508;Mothercell;basic;
3;150;FungalCellAlveolus;0;OnAEC1Swelling;1.79048;41.823;-103.903;-32.0508;Mothercell;basic;
3;180;FungalCellAlveolus;0;OnAEC1Swelling;2.03627;41.823;-103.903;-32.0508;Mothercell;basic;
3;210;FungalCellAlveolus;0;OnAEC1Swelling;2.19832;41.823;-103.903;-32.0508;Mothercell;basic;
3;240;FungalCellAlveolus;0;OnAEC1Swelling;2.27035;41.823;-103.903;-32.0508;Mothercell;basic;
3;270;FungalCellAlveolus;0;OnAEC1Swelling;2.29669;41.823;-103.903;-32.0508;Mothercell;basic;
3;300;FungalCellAlveolus;0;OnAEC1Swelling;2.30562;41.823;-103.903;-32.0508;Mothercell;basic;
3;330;FungalCellAlveolus;0;OnAEC1Swelling;2.30857;41.823;-103.903;-32.0508;Mothercell;basic;
3;360;FungalCellAlveolus;0;OnAEC1Swelling;2.30953;41.823;-103.903;-32.0508;Mothercell;basic;
3;390;FungalCellAlveolus;0;OnAEC1Swelling;2.30985;41.823;-103.903;-32.0508;Mothercell;basic;
3;420;FungalCellAlveolus;0;OnAEC1Swelling;2.30995;41.823;-103.903;-32.0508;Mothercell;basic;
3;450;FungalCellAlveolus;0;UptakenByAEC1;2.26998;41.8948;-104.081;-32.1058;Mothercell;basic;
3;480;FungalCellAlveolus;0;UptakenByAEC1;1.78998;42.7564;-106.222;-32.7661;Mothercell;basic;
1;0;FungalCellAlveolus;0;FungalOnAEC1;1.39;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;30;FungalCellAlveolus;0;OnAEC1Swelling;1.39805;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;60;FungalCellAlveolus;0;OnAEC1Swelling;1.41416;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;90;FungalCellAlveolus;0;OnAEC1Swelling;1.46005;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;120;FungalCellAlveolus;0;OnAEC1Swelling;1.57516;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;150;FungalCellAlveolus;0;OnAEC1Swelling;1.79048;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;180;FungalCellAlveolus;0;OnAEC1Swelling;2.03627;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;210;FungalCellAlveolus;0;OnAEC1Swelling;2.19832;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;240;FungalCellAlveolus;0;OnAEC1Swelling;2.27035;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;270;FungalCellAlveolus;0;OnAEC1Swelling;2.29669;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;300;FungalCellAlveolus;0;OnAEC1Swelling;2.30562;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;330;FungalCellAlveolus;0;OnAEC1Swelling;2.30857;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;360;FungalCellAlveolus;0;OnAEC1Swelling;2.30953;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;390;FungalCellAlveolus;0;OnAEC1Swelling;2.30985;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;420;FungalCellAlveolus;0;OnAEC1Swelling;2.30995;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;450;FungalCellAlveolus;0;OnAEC1Swelling;2.30998;52.6682;-71.6829;-75.2321;Mothercell;basic;
1;480;FungalCellAlveolus;0;OnAEC1Swelling;2.30999;52.6682;-71.6829;-75.2321;Mothercell;basic;
